window_index,subject_id,window_start_time,window_end_time,window_start_sec,window_end_sec
448,44,240,300,480.0,600.0
449,44,270,330,540.0,660.0
450,45,0,60,0.0,120.0
451,45,30,90,60.0,180.0
452,45,60,120,120.0,240.0
453,45,90,150,180.0,300.0
454,45,120,180,240.0,360.0
455,45,150,210,300.0,420.0
456,45,180,240,360.0,480.0
457,45,210,270,420.0,540.0
458,45,240,300,480.0,600.0
459,45,270,330,540.0,660.0
460,46,0,60,0.0,120.0
461,46,30,90,60.0,180.0
462,46,60,120,120.0,240.0
463,46,90,150,180.0,300.0
464,46,120,180,240.0,360.0
465,46,150,210,300.0,420.0
466,46,180,240,360.0,480.0
467,46,210,270,420.0,540.0
468,46,240,300,480.0,600.0
469,46,270,330,540.0,660.0
470,47,0,60,0.0,120.0
471,47,30,90,60.0,180.0
472,47,60,120,120.0,240.0
473,47,90,150,180.0,300.0
474,47,120,180,240.0,360.0
475,47,150,210,300.0,420.0
476,47,180,240,360.0,480.0
477,47,210,270,420.0,540.0
478,47,240,300,480.0,600.0
479,47,270,330,540.0,660.0
480,48,0,60,0.0,120.0
481,48,30,90,60.0,180.0
482,48,60,120,120.0,240.0
483,48,90,150,180.0,300.0
484,48,120,180,240.0,360.0
485,48,150,210,300.0,420.0
486,48,180,240,360.0,480.0
487,48,210,270,420.0,540.0
488,48,240,300,480.0,600.0
489,48,270,330,540.0,660.0
490,49,0,60,0.0,120.0
491,49,30,90,60.0,180.0
492,49,60,120,120.0,240.0
493,49,90,150,180.0,300.0
494,49,120,180,240.0,360.0
495,49,150,210,300.0,420.0
496,49,180,240,360.0,480.0
497,49,210,270,420.0,540.0
498,49,240,300,480.0,600.0
499,49,270,330,540.0,660.0
